#{"t_start": 1780270377.9925363, "env_id": "None"}
r,l,t
140.686576,66,2120.437106
140.57966,65,2121.823479
113.535708,700,2134.552973
140.796572,68,2135.717542
-3.559767,700,2148.936105
96.775391,700,2161.513764
-4.481251,700,2176.560744
97.852867,700,2191.315975
-4.029475,700,2205.047889
-5.082718,700,2219.725662
140.625837,64,2220.978455
-3.669389,700,2235.617757
-2.300791,700,2249.322979
-5.104892,700,2262.135923
140.692,62,2263.169182
-5.519363,700,2275.61849
-7.350502,700,2288.687832
80.812901,435,2296.360923
76.39471,642,2308.590168
-6.591235,700,2323.234158
140.710837,60,2324.527798
-22.7148,240,2329.697289
-7.934939,700,2344.67357
140.706479,59,2345.787936
140.647952,61,2346.906988
