#{"t_start": 1780189488.8697336, "env_id": "None"}
r,l,t
-18.639162,400,1155.346228
70.285837,289,1158.745089
-24.067669,400,1163.32311
-20.356661,400,1167.73769
-36.515228,378,1171.928982
89.888626,400,1176.249862
89.681544,400,1180.778473
90.109165,400,1185.249661
89.064967,400,1189.637283
91.02486,400,1194.054225
92.643628,400,1198.472941
89.941645,400,1203.030751
-8.825448,400,1207.753164
-10.017708,400,1212.67037
89.669931,400,1217.797086
