#{"t_start": 1780272732.6701624, "env_id": "None"}
r,l,t
-19.161467,700,922.711114
140.707708,69,923.567931
140.628787,61,924.335672
-6.080161,700,932.007658
81.470241,493,937.718891
105.109154,700,946.101604
-24.075442,697,954.646872
140.592891,68,955.492873
-16.577394,700,964.624876
-7.062809,700,974.612795
-4.137656,700,984.664952
140.590742,63,985.500921
-15.668703,700,995.447928
140.530189,65,996.299389
-11.94261,700,1005.380374
-6.053674,700,1014.649496
-10.520775,700,1024.196298
140.209883,78,1025.235203
140.613333,66,1026.274927
-4.216471,700,1034.995177
-5.83442,700,1043.103807
140.257746,69,1043.993855
140.337861,66,1044.779876
140.509388,69,1045.633146
140.375694,64,1046.461426
140.341519,67,1047.119657
-32.481037,655,1054.774778
-17.092701,700,1062.618392
-20.015943,700,1071.166561
-27.158147,479,1077.285996
-25.851346,372,1082.060977
140.524642,69,1082.924604
77.879591,266,1086.13398
-6.497839,700,1094.995917
140.484127,73,1095.837815
-6.010628,700,1104.945924
140.559053,64,1105.754874
-5.82896,700,1115.257917
140.617455,65,1116.19247
140.606902,66,1116.875034
0.39863,700,1126.50484
140.609161,70,1127.52602
-4.840752,700,1137.579332
-0.753401,700,1146.778828
-12.87648,700,1155.489376
-9.14435,700,1164.679957
-6.783571,700,1173.226329
140.302124,67,1174.21031
-4.422588,700,1182.198873
-9.870471,700,1190.44335
140.374245,74,1191.219364
139.973662,89,1192.316058
-10.278758,700,1200.930303
-9.970194,700,1209.459491
-7.47653,700,1218.228165
-24.250306,45,1218.863954
140.25451,72,1219.965188
140.718018,60,1220.711112
93.36743,700,1229.852854
98.712541,700,1239.180938
-5.423996,700,1249.059483
140.766475,58,1249.847061
-23.568463,241,1253.493342
-32.254422,633,1262.133091
-22.958358,131,1263.89907
140.685306,58,1264.698073
140.608593,64,1265.561414
147.895334,443,1271.607462
-24.385895,36,1272.043602
-31.939907,599,1279.823895
140.726953,58,1280.539952
-5.503174,700,1289.210515
-24.351513,54,1289.983485
-5.365603,700,1298.272767
145.819453,536,1304.084136
140.701629,58,1304.935335
147.581974,443,1309.920941
140.786676,92,1310.86885
140.765,57,1311.491894
-24.729567,282,1315.012179
-30.690743,399,1319.679569
-6.520791,700,1328.03967
-9.520236,700,1336.40346
-9.645641,700,1345.601301
140.692147,58,1346.510735
-5.735585,700,1355.647937
74.273059,461,1361.672365
-30.264408,179,1363.976449
-12.187015,700,1373.079558
-34.011571,658,1382.482777
-11.877095,700,1391.462818
-12.735348,700,1400.639134
-26.965462,43,1401.412744
-9.052346,700,1409.731445
-8.95268,700,1417.648664
140.516678,68,1418.508238
93.208167,700,1426.664319
92.752917,700,1435.045485
-23.35477,107,1436.322076
143.92858,552,1442.953463
-9.740523,700,1451.601842
76.225597,357,1455.898448
-11.783324,700,1464.060492
140.694402,58,1464.654827
96.34813,700,1473.353957
94.323261,700,1482.024316
140.71021,63,1482.982139
140.644517,64,1483.908148
