#{"t_start": 1780190712.460629, "env_id": "None"}
r,l,t
88.46633,400,644.498278
87.385851,400,647.486527
87.799438,400,650.642424
88.516548,400,653.80332
87.449336,400,656.976393
87.968576,400,660.032028
88.438419,400,663.136797
89.288117,400,666.245881
88.305194,400,669.310113
85.705573,400,672.367682
86.246466,400,675.403968
88.244432,400,678.559923
89.49436,400,681.712656
90.128154,400,684.84552
86.036081,400,687.925582
85.605848,400,691.026489
87.974417,400,694.13618
87.686399,400,697.262655
85.007,400,700.349223
-25.270033,95,701.10655
59.262566,400,704.210499
67.061904,256,706.177537
82.309729,400,709.260417
86.897225,400,712.426083
90.233863,400,715.510293
90.442417,400,718.535735
68.091881,266,720.626051
72.709467,197,722.160171
89.059098,400,725.255177
87.05567,400,728.335521
88.991057,400,731.374901
