#{"t_start": 1780270106.952209, "env_id": "None"}
r,l,t
102.652535,700,155.892542
109.210451,700,156.98569
143.994415,635,157.756452
-22.532526,209,158.068855
2.274773,700,159.403635
146.744019,484,160.108046
112.41004,700,161.069078
1.845366,700,162.476231
2.067665,700,163.459947
2.232527,700,164.444875
139.867935,102,164.550559
-18.53897,337,165.586873
140.511796,66,165.66367
140.036438,93,165.762432
140.496693,71,165.827203
-21.980092,148,166.059521
143.453633,662,166.705848
-20.428206,188,167.041979
2.01021,700,168.007536
140.093598,92,168.633831
140.248602,84,168.730562
2.587629,700,169.444791
140.510232,63,169.516317
145.081143,569,170.16596
140.476117,62,170.229435
-24.193828,45,170.304297
2.051875,700,171.551375
145.250053,562,172.225623
2.666502,700,172.959064
-25.527982,260,173.306273
140.475565,69,173.362994
145.771955,540,174.429199
-21.634369,141,174.677332
2.459234,700,175.522766
140.614454,67,175.569722
145.782531,537,176.198168
-29.597563,488,177.266672
-21.902206,142,177.56936
140.548891,60,177.620466
140.545587,69,177.681417
-23.909184,172,177.845206
-23.035691,104,178.028777
-23.700224,127,178.199684
1.205323,700,178.985154
-21.786503,137,179.194866
140.583571,59,179.246434
1.724748,700,180.539979
-19.850974,337,181.006913
140.528306,68,181.106006
-23.807961,168,181.310657
-24.290012,54,181.45994
139.844247,102,181.552809
144.880586,578,182.085548
-24.179569,44,182.15862
-24.108667,43,182.248375
140.521615,60,182.329172
146.190616,516,183.389504
140.131268,88,183.475817
-21.540524,422,184.018806
-21.529952,144,184.280718
-24.225789,38,184.358423
145.825234,534,184.934788
146.04842,528,185.960015
146.876674,469,186.459926
146.163312,519,187.032179
1.665886,700,187.881888
146.419394,502,188.941023
140.248406,79,189.009252
140.59402,60,189.064039
140.18611,85,189.136994
146.99679,460,189.679425
-20.758924,386,190.220843
-6.944663,700,190.882558
-17.529055,300,191.663359
-16.444353,358,192.07098
-20.823649,200,192.31624
146.902835,479,192.821224
1.195311,700,193.651155
147.262758,451,194.536561
143.996585,638,195.266853
-16.130213,350,195.789244
140.530887,65,195.85037
140.229442,82,195.923094
1.9699,700,197.238776
1.714433,700,198.007621
140.512908,65,198.073196
140.185347,82,198.165797
1.86965,700,198.974196
147.419983,434,199.924259
147.821464,415,200.333916
2.322477,700,201.097234
140.25346,81,201.163524
140.21499,77,201.22783
143.544215,641,201.903103
1.726314,700,203.210791
147.840938,422,203.699695
1.001358,700,204.454528
140.199905,83,204.568621
147.790998,426,205.51584
-21.049653,172,205.757878
140.468074,66,205.804289
-16.789149,383,206.306552
147.798557,433,206.819983
140.445902,68,206.882633
140.499555,63,206.946898
148.183208,407,207.429302
1.964673,700,208.638828
140.410003,72,208.70274
140.340538,72,208.773425
147.884208,413,209.214094
-21.915949,164,209.457507
1.416613,700,210.233135
114.462745,700,211.37094
114.306547,700,212.263359
140.344979,73,212.361832
2.422234,700,213.124915
140.385903,73,213.570688
2.599735,700,214.409632
-16.219886,353,214.907778
140.409961,68,214.970644
-22.551387,201,215.231108
147.895283,414,215.6529
147.062425,470,216.536113
115.251869,700,217.403002
146.770378,486,218.003129
-16.278072,355,218.581504
111.937156,700,219.760729
140.289189,78,219.825068
115.30712,700,220.76502
147.96123,415,221.219946
108.174321,700,222.468573
148.617405,392,223.011523
146.740431,490,223.556552
140.38615,74,223.622919
140.40942,74,223.723524
2.151707,700,224.619581
-21.85032,168,225.252781
140.522606,63,225.303552
147.117891,462,225.868041
114.718438,700,226.921156
140.511473,64,227.011344
140.324073,78,227.115113
116.725618,700,228.412442
140.364988,74,228.477214
140.610987,60,228.553422
140.584181,59,228.617429
-21.776546,154,228.788027
147.284915,461,229.425703
115.927388,700,230.294182
148.630831,386,230.839983
148.013736,416,231.793332
110.586716,700,232.656917
148.469881,401,233.145005
140.435538,69,233.210125
140.568646,62,233.263617
109.926181,700,234.619197
146.949269,488,235.191528
-21.544366,144,235.429963
86.674969,630,236.352216
148.019124,422,236.975906
108.657594,700,238.232726
110.723889,700,239.049654
-21.707461,148,239.306615
140.341079,80,239.401089
140.397191,73,239.466629
140.538868,63,239.522976
148.064907,420,240.551034
140.430625,68,240.655181
140.409823,73,240.756944
147.667948,434,241.226791
140.373936,69,241.288687
116.574715,700,242.220052
116.350301,700,243.538958
148.18374,403,244.067273
140.370459,74,244.186171
148.230685,413,244.715351
140.401035,73,244.818011
140.567668,63,244.907588
117.10542,700,245.882752
140.528574,66,245.956028
147.796791,431,246.850694
140.431678,69,246.917034
147.897662,438,247.429564
140.433224,70,247.491475
147.889104,427,247.997564
115.837259,700,248.892491
117.363636,700,250.403617
140.649365,57,250.462603
117.453196,700,251.437756
